sigma_less,sigma_more,mean_RE_P0,mean_RE_P025,difference
0.1191919191919192,0.1,0.9982768407391782,0.9980947538645676,0.0001820868746106319
0.1383838383838384,0.1,0.9982768407391782,0.9978793168388423,0.00039752390033587215
0.1383838383838384,0.1191919191919192,0.9975457324951281,0.9973305233435532,0.00021520915157491327
0.1575757575757576,0.1,0.9982768407391782,0.9976297753695827,0.0006470653695954676
0.1575757575757576,0.1191919191919192,0.9975457324951281,0.9970812457274717,0.0004644867676564246
0.1575757575757576,0.1383838383838384,0.9966817396941926,0.9964327737744927,0.0002489659196999172
0.17676767676767677,0.1,0.9982768407391782,0.9973452236848459,0.0009316170543323121
0.17676767676767677,0.1191919191919192,0.9975457324951281,0.996796994795894,0.0007487376992341144
0.17676767676767677,0.1383838383838384,0.9966817396941926,0.9961488781092545,0.0005328615849381491
0.17676767676767677,0.1575757575757576,0.9956823563109712,0.9953988714176923,0.0002834848932788958
0.19595959595959594,0.1,0.9982768407391782,0.9970245837155391,0.0012522570236390695
0.19595959595959594,0.1191919191919192,0.9975457324951281,0.9964766935726262,0.0010690389225018748
0.19595959595959594,0.1383838383838384,0.9966817396941926,0.995828977009331,0.0008527626848615633
0.19595959595959594,0.1575757575757576,0.9956823563109712,0.9950794329334903,0.0006029233774809128
0.19595959595959594,0.17676767676767677,0.9945445693566011,0.9942256573174111,0.0003189120391899891
0.21515151515151515,0.1,0.9982768407391782,0.9966665775561905,0.0016102631829877367
0.21515151515151515,0.1191919191919192,0.9975457324951281,0.996119065442959,0.001426667052169095
0.21515151515151515,0.1383838383838384,0.9966817396941926,0.9954717953813758,0.0012099443128168463
0.21515151515151515,0.1575757575757576,0.9956823563109712,0.9947227675201193,0.0009595887908518952
0.21515151515151515,0.17676767676767677,0.9945445693566011,0.993869579320756,0.0006749900358450356
0.21515151515151515,0.19595959595959594,0.9932647867485371,0.9929093691408049,0.00035541760773227793
0.23434343434343433,0.1,0.9982768407391782,0.9962696903816093,0.002007150357568932
0.23434343434343433,0.1191919191919192,0.9975457324951281,0.9957225971062035,0.001823135388924646
0.23434343434343433,0.1383838383838384,0.9966817396941926,0.9950758217204697,0.0016059179737228924
0.23434343434343433,0.1575757575757576,0.9956823563109712,0.9943273657461515,0.0013549905648196914
0.23434343434343433,0.17676767676767677,0.9945445693566011,0.9934748282911507,0.0010697410654503248
0.23434343434343433,0.19595959595959594,0.9932647867485371,0.9925153496712991,0.0007494370772380687
0.23434343434343433,0.21515151515151515,0.9918387406729314,0.9914455358965031,0.0003932047764283464
0.2535353535353535,0.1,0.9982768407391782,0.9958321191348055,0.0024447216043727016
0.2535353535353535,0.1191919191919192,0.9975457324951281,0.9952854873096226,0.002260245185505494
0.2535353535353535,0.1383838383838384,0.9966817396941926,0.9946392569017815,0.002042482792411149
0.2535353535353535,0.1575757575757576,0.9956823563109712,0.9938914309427993,0.0017909253681719361
0.2535353535353535,0.17676767676767677,0.9945445693566011,0.9930396103523357,0.0015049590042653938
0.2535353535353535,0.19595959595959594,0.9932647867485371,0.9920809376001173,0.0011838491484198466
0.2535353535353535,0.21515151515151515,0.9918387406729314,0.9910120212457579,0.0008267194271734946
0.2535353535353535,0.23434343434343433,0.9902613547215798,0.9898288320554762,0.00043252266610360746
0.2727272727272727,0.1,0.9982768407391782,0.9953516986616471,0.00292514207753114
0.2727272727272727,0.1191919191919192,0.9975457324951281,0.9948055730486157,0.0027401594465124024
0.2727272727272727,0.1383838383838384,0.9966817396941926,0.9941599404566998,0.00252179923749285
0.2727272727272727,0.1575757575757576,0.9956823563109712,0.9934128055717576,0.002269550739213644
0.2727272727272727,0.17676767676767677,0.9945445693566011,0.9925617712979099,0.001982798058691171
0.2727272727272727,0.19595959595959594,0.9932647867485371,0.9916039824650476,0.0016608042834895809
0.2727272727272727,0.21515151515151515,0.9918387406729314,0.9905360504265512,0.0013026902463801893
0.2727272727272727,0.23434343434343433,0.9902613547215798,0.9893539492495973,0.0009074054719825364
0.2727272727272727,0.2535353535353535,0.9885265529963327,0.9880528657915262,0.000473687204806561
0.2919191919191919,0.1,0.9982768407391782,0.9948257891237124,0.003451051615465772
0.2919191919191919,0.1191919191919192,0.9975457324951281,0.994280217072193,0.0032655154229350725
0.2919191919191919,0.1383838383838384,0.9966817396941926,0.9936352381909721,0.0030465015032205
0.2919191919191919,0.1575757575757576,0.9956823563109712,0.9928888589732278,0.002793497337743478
0.2919191919191919,0.17676767676767677,0.9945445693566011,0.9920386844909314,0.0025058848656697164
0.2919191919191919,0.19595959595959594,0.9932647867485371,0.9910818621522997,0.002182924596237479
0.2919191919191919,0.21515151515151515,0.9918387406729314,0.9900150063631897,0.001823734309741698
0.2919191919191919,0.23434343434343433,0.9902613547215798,0.988834094797759,0.0014272599238208672
0.2919191919191919,0.2535353535353535,0.9885265529963327,0.9875343185686355,0.0009922344276972472
0.2919191919191919,0.2727272727272727,0.9866269634270266,0.9861098460073605,0.000517117419666091
0.3111111111111111,0.1,0.9982768407391782,0.9942510892820272,0.004025751457151006
0.3111111111111111,0.1191919191919192,0.9975457324951281,0.9937061213051609,0.003839611189967229
0.3111111111111111,0.1383838383838384,0.9966817396941926,0.9930618557766379,0.003619883917554745
0.3111111111111111,0.1575757575757576,0.9956823563109712,0.9923163011601568,0.003366055150814451
0.3111111111111111,0.17676767676767677,0.9945445693566011,0.9914670648919062,0.0030775044646949024
0.3111111111111111,0.19595959595959594,0.9932647867485371,0.9905112971916371,0.002753489556900024
